psi,psi_err,I_60,I_60_err,I_82_5,I_82_5_err,I_22_5,I_22_5_err,I_37_5,I_37_5_err
0,2.82842712,4612,0.094,5217,0.16,4422,0.21,3115,0.28
7.5,2.82842712,4512,0.14,5205,0.17,4316,0.18,3048,0.14
15,2.82842712,4341,0.094,5114,0.25,4149,0.16,2960,0.1
22.5,2.82842712,4055,0.077,4923,0.2,3795,0.25,2802,0.14
30,2.82842712,3805,0.1,4440,0.18,3490,0.2,2674,0.13
37.5,2.82842712,3407,0.077,4015,0.18,2938,0.22,2500,0.094
45,2.82842712,3095,0.094,3391,0.14,2559,0.14,2326,0.08
52.5,2.82842712,2736,0.075,2765,0.12,1999,0.11,2166,0.11
60,2.82842712,2463,0.07,2052,0.17,1617,0.1,2030,0.086
67.5,2.82842712,2203,0.068,1405,0.13,1170,0.082,1914,0.099
75,2.82842712,2063,0.087,799.5,0.075,996.1,0.1,1836,0.12
82.5,2.82842712,1987,0.07,465.4,0.12,801.2,0.065,1822,0.11
90,2.82842712,1990,0.093,206,0.063,778.9,0.085,1847,0.1
97.5,2.82842712,2087,0.083,108.7,0.063,873.4,0.078,1897,0.14
105,2.82842712,2233,0.086,211.9,0.056,1011,0.12,1982,0.17
112.5,2.82842712,2493,0.091,502.9,0.066,1361,0.13,2115,0.12
120,2.82842712,2789,0.1,1090,0.1,1645,0.14,2235,0.1
127.5,2.82842712,3112,0.074,1497,0.13,2252,0.088,2400,0.22
135,2.82842712,3417,0.14,2357,0.1,2565,0.11,2565,0.083
142.5,2.82842712,3775,0.13,2923,0.13,3103,0.17,2754,0.088
150,2.82842712,4058,0.06,3799,0.13,3434,0.16,2910,0.12
157.5,2.82842712,4332,0.084,4264,0.12,3917,0.13,3009,0.11
165,2.82842712,4542,0.084,4847,0.14,4077,0.16,3068,0.11
172.5,2.82842712,4638,0.088,5107,0.16,4257,0.15,3081,0.13
180,2.82842712,4628,0.071,5397,0.12,4280,0.12,3108,0.09
