"Data Set: X","Data Set: Y","Latest: Time (s)","Latest: Temperature (°C)"
"6+",,0,5.32267167531
,,0.5,5.52075874054
,,1,5.71808045876
,,1.5,5.91114637315
,,2,6.10175353542
,,2.5,6.44624043101
,,3,11.1663077533
,,3.5,17.282199449
,,4,23.4216388542
,,4.5,28.042393009
,,5,31.7957451922
,,5.5,35.0340630577
,,6,37.2304169962
,,6.5,38.9623506476
,,7,40.3461524122
,,7.5,41.3634307521
,,8,42.1533506602
,,8.5,42.8351937865
,,9,43.3433607471
,,9.5,43.7538514505
,,10,44.1216984049
,,10.5,44.4361779681
,,11,44.6847791516
,,11.5,44.9106635511
,,12,45.0932815022
,,12.5,45.2594304318
,,13,45.4277051813
,,13.5,45.5691212082
,,14,45.6903381321
,,14.5,45.80836033
,,15,45.919740531
,,15.5,46.0141379316
,,16,46.0845985122
,,16.5,46.163745529
,,17,46.2257561205
,,17.5,46.2843779337
,,18,46.3430546245
,,18.5,46.3896900639
,,19,46.429444044
,,19.5,46.4640333419
,,20,46.4934493627
,,20.5,46.5176847736
,,21,46.5436617812
,,21.5,46.5696496662
,,22,46.6008495141
,,22.5,46.6303304765
,,23,46.6598254951
,,23.5,46.6997529451
,,24,46.7310185456
,,24.5,46.7605617395
,,25,46.784902078
,,25.5,46.817950811
,,26,46.84231389
,,26.5,46.8649454118
,,27,46.8823599596
,,27.5,46.9032639515
,,28,46.929403981
,,28.5,46.9363765418
,,29,46.9468368738
,,29.5,46.9555551844
,,30,46.9642747388
,,30.5,46.9729955378
,,31,46.9799730736
,,31.5,47.0044007309
,,32,47.02534651
,,32.5,47.0445531315
,,33,47.0637658104
,,33.5,47.0690066842
,,34,47.0655127182
,,34.5,47.0725008509
,,35,47.0759952181
,,35.5,47.0829845547
,,36,47.0934700656
,,36.5,47.1022093726
,,37,47.1092017229
,,37.5,47.1144465136
,,38,47.1179432922
,,38.5,47.1179432922
,,39,47.119691757
,,39.5,47.1179432922
,,40,47.1161948777
,,40.5,47.119691757
,,41,47.1231888376
,,41.5,47.1249374533
,,42,47.1301836027
,,42.5,47.1389281923
,,43,47.1371791736
,,43.5,47.1441755507
,,44,47.145924771
,,44.5,47.1441755507
,,45,47.1441755507
,,45.5,47.1494233627
,,46,47.1546716286
,,46.5,47.1406772614
,,47,47.1476740416
,,47.5,47.1389281923
,,48,47.1336812874
,,48.5,47.1249374533
,,49,47.1266861195
,,49.5,47.1301836027
,,50,47.1249374533
,,50.5,47.1179432922
,,51,47.1144465136
,,51.5,47.1231888376
,,52,47.1179432922
,,52.5,47.1266861195
,,53,47.1284348359
,,53.5,47.1284348359
,,54,47.1249374533
,,54.5,47.1249374533
,,55,47.1266861195
,,55.5,47.1301836027
,,56,47.1301836027
,,56.5,47.1319324199
,,57,47.1616700227
,,57.5,47.1984248489
,,58,47.2159349863
,,58.5,47.2281950962
,,59,47.231698441
,,59.5,47.2474660036
,,60,47.2772604011
,,60.5,47.3088234361
,,61,47.3316292329
,,61.5,47.3333838822
,,62,47.3421578951
,,62.5,47.345667858
,,63,47.3421578951
,,63.5,47.3246111461
,,64,47.301808002
,,64.5,47.2895329541
,,65,47.2649903409
,,65.5,47.2649903409
,,66,47.2527227714
,,66.5,47.2457138492
,,67,47.2439617456
,,67.5,47.231698441
,,68,47.2246919542
,,68.5,47.2089303238
,,69,47.2054282963
,,69.5,47.2001756349
,,70,47.1931727947
,,70.5,47.1879211956
,,71,47.1774193625
,,71.5,47.1774193625
,,72,47.1774193625
,,72.5,47.1739191557
,,73,47.1686692243
,,73.5,47.1651695226
,,74,47.1686692243
,,74.5,47.1669193482
,,75,47.1669193482
,,75.5,47.1756692338
,,76,47.1844203824
,,76.5,47.1931727947
,,77,47.2071792847
,,77.5,47.2176862785
,,78,47.221189015
,,78.5,47.231698441
,,79,47.2369538386
,,79.5,47.2387057392
,,80,47.2334501895
,,80.5,47.2246919542
,,81,47.221189015
,,81.5,47.2159349863
,,82,47.221189015
,,82.5,47.2194376214
,,83,47.221189015
,,83.5,47.2194376214
,,84,47.2159349863
,,84.5,47.2194376214
,,85,47.2106814134
,,85.5,47.2089303238
,,86,47.1511727343
,,86.5,46.9817175822
,,87,46.7536091247
,,87.5,46.484796148
,,88,46.1430889013
