"Data Set: X","Data Set: Y","Latest: Time (s)","Latest: Temperature (°C)"
"6+",,0,21.9162378975
,,0.5,21.971688506
,,1,22.0227516738
,,1.5,22.0665127549
,,2,22.1146422127
,,2.5,22.1642217785
,,3,22.2108772535
,,3.5,22.2546101175
,,4,22.2954217297
,,4.5,22.3362278795
,,5,22.3712002817
,,5.5,22.4032548695
,,6,22.4455036613
,,6.5,22.4731808633
,,7,22.5168768645
,,7.5,22.5503731587
,,8,22.579497599
,,8.5,22.6129875501
,,9,22.6450182898
,,9.5,22.6726787658
,,10,22.7090707259
,,10.5,22.7541914502
,,11,22.7803879168
,,11.5,22.8124031938
,,12,22.8429605627
,,12.5,22.8633307078
,,13,22.8924289435
,,13.5,22.9127963396
,,14,22.9389813499
,,14.5,22.9593462022
,,15,22.9811644668
,,15.5,23.0073447321
,,16,23.0277059249
,,16.5,23.045157522
,,17,23.0684251013
,,17.5,23.087328993
,,18,23.1004157725
,,18.5,23.1178641413
,,19,23.1353117484
,,19.5,23.1542124692
,,20,23.1731123084
,,20.5,23.1891037963
,,21,23.2007335781
,,21.5,23.2181776365
,,22,23.2341673798
,,22.5,23.2487029792
,,23,23.2617845889
,,23.5,23.2777726733
,,24,23.2893999933
,,24.5,23.2981202756
,,25,23.3097470429
,,25.5,23.3184669124
,,26,23.3315463871
,,26.5,23.3402658181
,,27,23.3504382674
,,27.5,23.3649699283
,,28,23.3707824583
,,28.5,23.3780480133
,,29,23.3867665221
,,29.5,23.3925787662
,,30,23.3983909346
,,30.5,23.4012969905
,,31,23.4129210253
,,31.5,23.4201858944
,,32,23.4201858944
,,32.5,23.4274506465
,,33,23.4347152819
,,33.5,23.4376211035
,,34,23.4448855762
,,34.5,23.4492442042
,,35,23.4477913329
,,35.5,23.4521499331
,,36,23.4579613356
,,36.5,23.4579613356
,,37,23.4579613356
,,37.5,23.4594141746
,,38,23.4637726643
,,38.5,23.462319839
,,39,23.462319839
,,39.5,23.465225485
,,40,23.4637726643
,,40.5,23.465225485
,,41,23.4666783011
,,41.5,23.4565084919
,,42,23.4594141746
,,42.5,23.4579613356
,,43,23.450697071
,,43.5,23.4536027907
,,44,23.450697071
,,44.5,23.4477913329
,,45,23.4448855762
,,45.5,23.4390740073
,,46,23.4332623642
,,46.5,23.4303565147
,,47,23.4274506465
,,47.5,23.41873293
,,48,23.415826987
,,48.5,23.4056560389
,,49,23.4056560389
,,49.5,23.3969378996
,,50,23.3954848599
,,50.5,23.3867665221
,,51,23.37950111
,,51.5,23.3722355788
,,52,23.3649699283
,,52.5,23.3547978161
,,53,23.3504382674
,,53.5,23.3402658181
,,54,23.3329996377
,,54.5,23.3286398712
,,55,23.317013613
,,55.5,23.3068403806
,,56,23.2981202756
,,56.5,23.2923067738
,,57,23.2835863729
,,57.5,23.2734123464
,,58,23.2690519747
,,58.5,23.2603310968
,,59,23.2457958996
,,59.5,23.2341673798
,,60,23.2196312749
,,60.5,23.2094556992
,,61,23.1992798733
,,61.5,23.1847425434
,,62,23.1760198982
,,62.5,23.1658432434
,,63,23.1542124692
,,63.5,23.1367656815
,,64,23.1294959637
,,64.5,23.1149561329
,,65,23.1018698324
,,65.5,23.0931453928
,,66,23.0800583728
,,66.5,23.0669709181
,,67,23.0538830267
,,67.5,23.0364318216
,,68,23.0247972489
,,68.5,23.0146167103
,,69,23.0029814791
,,69.5,22.9869824588
,,70,22.9709827664
,,70.5,22.9564370051
,,71,22.9418906821
,,71.5,22.9287985088
,,72,22.9127963396
,,72.5,22.901157965
,,73,22.8895192238
,,73.5,22.8720604213
,,74,22.856055787
,,74.5,22.8385953827
,,75,22.824044402
,,75.5,22.8051272467
,,76,22.7891196414
,,76.5,22.7716559772
,,77,22.7527360339
,,77.5,22.7279930308
,,78,22.7061595105
,,78.5,22.6916030652
,,79,22.6653999108
,,79.5,22.6522975803
,,80,22.637738843
,,80.5,22.6158995614
,,81,22.6042513647
,,81.5,22.5838660443
,,82,22.5707605361
,,82.5,22.5532857183
,,83,22.5387226622
,,83.5,22.5183332965
,,84,22.5052251739
,,84.5,22.4921165219
,,85,22.4629842778
,,85.5,22.4513306397
,,86,22.4367629938
,,86.5,22.4163671671
,,87,22.3988839823
,,87.5,22.3843139188
,,88,22.3697431769
,,88.5,22.3522573868
,,89,22.3391423972
,,89.5,22.3201975393
,,90,22.3012515126
,,90.5,22.2823043104
,,91,22.2691863245
,,91.5,22.250237118
,,92,22.2283711659
,,92.5,22.2137929768
,,93,22.1933823127
,,93.5,22.1802604291
,,94,22.1642217785
,,94.5,22.1467240698
,,95,22.1292253135
,,95.5,22.1117255045
,,96,22.0942246375
,,96.5,22.0752641649
,,97,22.057761077
,,97.5,22.0358807061
,,98,22.0183751942
,,98.5,22.0023275211
,,99,21.9862789316
,,99.5,21.9702294215
,,100,21.9512606265
,,100.5,21.9322905335
,,101,21.910400343
,,101.5,21.8972653907
,,102,21.8753723998
,,102.5,21.8607760933
,,103,21.8403399416
,,103.5,21.8213621267
,,104,21.8067628936
,,104.5,21.7892427599
,,105,21.7673409685
,,105.5,21.7468976597
,,106,21.7293735592
,,106.5,21.7103877936
,,107,21.6972429922
,,107.5,21.6753335108
,,108,21.6548829855
,,108.5,21.6358917557
,,109,21.6198211529
,,109.5,21.6037495369
,,110,21.5803708238
,,110.5,21.5657580296
,,111,21.5467601279
,,111.5,21.5248376809
,,112,21.5058366668
,,112.5,21.4897577489
,,113,21.4678302648
,,113.5,21.4459008246
,,114,21.4268937195
,,114.5,21.4151963023
,,115,21.3947244653
,,115.5,21.3742508941
,,116,21.356700732
