"Data Set: X","Data Set: Y","Latest: Time (s)","Latest: Temperature (°C)"
"6+",,0,25.9959492979
,,0.5,25.9800084895
,,1,25.9785593272
,,1.5,25.9843559784
,,2,25.9988476314
,,2.5,26.0191360091
,,3,26.0423228265
,,3.5,26.0597130161
,,4,26.0800016605
,,4.5,26.1002904091
,,5,26.1220284784
,,5.5,26.1423174672
,,6,26.1640558114
,,6.5,26.1799973625
,,7,26.2002867364
,,7.5,26.2176777471
,,8,26.2350688725
,,8.5,26.2539093933
,,9,26.2655036323
,,9.5,26.2828950979
,,10,26.2944894817
,,10.5,26.3104318584
,,11,26.3234757086
,,11.5,26.3350703101
,,12,26.3510129943
,,12.5,26.3597090573
,,13,26.3713038679
,,13.5,26.3857974795
,,14,26.3973924493
,,14.5,26.4104368777
,,15,26.4147850414
,,15.5,26.4234814006
,,16,26.4350766131
,,16.5,26.4408742483
,,17,26.4539189996
,,17.5,26.4568178469
,,18,26.4669638521
,,18.5,26.4771099198
,,19,26.4843571498
,,19.5,26.487256051
,,20,26.4974022465
,,20.5,26.5118969251
,,21,26.5147958771
,,21.5,26.5205937974
,,22,26.5234927659
,,22.5,26.5292907193
,,23,26.5350886951
,,23.5,26.5423361965
,,24,26.5437857011
,,24.5,26.5481342232
,,25,26.5553817887
,,25.5,26.5597303454
,,26,26.5640789151
,,26.5,26.5698770285
,,27,26.5713265605
,,27.5,26.5756751655
,,28,26.5785742428
,,28.5,26.5843724155
,,29,26.5887210607
,,29.5,26.591620165
,,30,26.591620165
,,30.5,26.5930697195
,,31,26.5974183919
,,31.5,26.6017670781
,,32,26.6032166432
,,32.5,26.6061157781
,,33,26.6061157781
,,33.5,26.6090149191
,,34,26.6061157781
,,34.5,26.6090149191
,,35,26.6090149191
,,35.5,26.6133636423
,,36,26.6119140663
,,36.5,26.6119140663
,,37,26.6162627988
,,37.5,26.6133636423
,,38,26.6133636423
,,38.5,26.6133636423
,,39,26.6177123794
,,39.5,26.6177123794
,,40,26.6148132198
,,40.5,26.6177123794
,,41,26.6162627988
,,41.5,26.6148132198
,,42,26.6133636423
,,42.5,26.6162627988
,,43,26.6148132198
,,43.5,26.6133636423
,,44,26.6119140663
,,44.5,26.6119140663
,,45,26.6090149191
,,45.5,26.6104644919
,,46,26.6075653478
,,46.5,26.6075653478
,,47,26.6046662099
,,47.5,26.6061157781
,,48,26.6017670781
,,48.5,26.6017670781
,,49,26.5988679525
,,49.5,26.6003175145
,,50,26.5945192755
,,50.5,26.5930697195
,,51,26.591620165
,,51.5,26.5887210607
,,52,26.5887210607
,,52.5,26.5843724155
,,53,26.5814733262
,,53.5,26.5771247034
,,54,26.5785742428
,,54.5,26.574225629
,,55,26.5684274979
,,55.5,26.5684274979
,,56,26.5640789151
,,56.5,26.5597303454
,,57,26.5626293904
,,57.5,26.5510332451
,,58,26.5510332451
,,58.5,26.5466847144
,,59,26.5408866934
,,59.5,26.5408866934
,,60,26.5379876915
,,60.5,26.5336391991
,,61,26.5263917398
,,61.5,26.5278412289
,,62,26.5249422521
,,62.5,26.5205937974
,,63,26.5133464004
