"Data Set: X","Data Set: Y","Latest: Time (s)","Latest: Temperature (°C)"
"6+",,0,21.5511443867
,,0.5,21.5628353691
,,1,21.5789095825
,,1.5,21.5935216155
,,2,21.6022884305
,,2.5,21.6183601388
,,3,21.6329699031
,,3.5,21.6505005188
,,4,21.6811762204
,,4.5,21.7147692466
,,5,21.7527387669
,,5.5,21.8023829681
,,6,21.8432594866
,,6.5,21.8972653907
,,7,21.9395868771
,,7.5,21.9848199233
,,8,22.0198340282
,,8.5,22.0694299213
,,9,22.1000583777
,,9.5,22.1379748229
,,10,22.1744282936
,,10.5,22.2079615016
,,11,22.2444063532
,,11.5,22.2721014815
,,12,22.3070811841
,,12.5,22.3362278795
,,13,22.3639146895
,,13.5,22.3857709556
,,14,22.4090826246
,,14.5,22.4353061925
,,15,22.4571575118
,,15.5,22.4848337079
,,16,22.5095946068
,,16.5,22.5285281383
,,17,22.5474605733
,,17.5,22.5620232428
,,18,22.579497599
,,18.5,22.5926027627
,,19,22.6129875501
,,19.5,22.6290033
,,20,22.6421065298
,,20.5,22.6566650798
,,21,22.6755902644
,,21.5,22.6828689028
,,22,22.697425717
,,22.5,22.7134375032
,,23,22.725081974
,,23.5,22.7352705664
,,24,22.7483697486
,,24.5,22.7585576631
,,25,22.7658345643
,,25.5,22.7818432192
,,26,22.7832985156
,,26.5,22.7934854233
,,27,22.7993063825
,,27.5,22.806582448
,,28,22.8080376433
,,28.5,22.8094928327
,,29,22.8153135312
,,29.5,22.8138583654
,,30,22.8167686911
,,30.5,22.818223845
,,31,22.8196789931
,,31.5,22.8211341353
,,32,22.824044402
,,32.5,22.8225892716
,,33,22.8225892716
,,33.5,22.8196789931
,,34,22.8167686911
,,34.5,22.818223845
,,35,22.8138583654
,,35.5,22.8124031938
,,36,22.8051272467
,,36.5,22.8036720395
,,37,22.8022168264
,,37.5,22.7934854233
,,38,22.7876643689
,,38.5,22.7862090904
,,39,22.7818432192
,,39.5,22.7687452828
,,40,22.7643791961
,,40.5,22.7469143081
,,41,22.7469143081
,,41.5,22.7352705664
,,42,22.7309040633
,,42.5,22.7178042255
,,43,22.7105263245
,,43.5,22.700337006
,,44,22.6886917024
,,44.5,22.679957466
,,45,22.6697672424
,,45.5,22.6581209005
,,46,22.6493858828
,,46.5,22.6362829348
,,47,22.6260914022
,,47.5,22.6231794791
,,48,22.6086194858
,,48.5,22.5998831865
,,49,22.5896905487
,,49.5,22.5780414379
,,50,22.5707605361
,,50.5,22.5591107603
,,51,22.5460042709
,,51.5,22.5314408918
,,52,22.5212461409
,,52.5,22.5125075295
,,53,22.5008556822
,,53.5,22.4833771254
,,54,22.4717242281
,,54.5,22.4600709081
,,55,22.4469604159
,,55.5,22.4353061925
,,56,22.4236515417
,,56.5,22.4090826246
,,57,22.3945130343
,,57.5,22.3828568752
,,58,22.3712002817
,,58.5,22.3580860928
,,59,22.3464285712
,,59.5,22.3318560513
,,60,22.3158254833
,,60.5,22.3041663623
,,61,22.2852193413
,,61.5,22.2750166105
,,62,22.2604406847
,,62.5,22.2444063532
,,63,22.2298289456
,,63.5,22.2137929768
,,64,22.1977561446
,,64.5,22.178802406
,,65,22.1685960426
,,65.5,22.1569311935
,,66,22.1379748229
,,66.5,22.1248504602
,,67,22.1044336054
,,67.5,22.092766184
,,68,22.0767227073
,,68.5,22.0621369495
,,69,22.0446330565
,,69.5,22.0300456558
,,70,22.0154575034
,,70.5,21.9950328215
,,71,21.9833609074
,,71.5,21.9673112296
,,72,21.954178987
,,72.5,21.9366683628
,,73,21.9191566283
,,73.5,21.898724861
,,74,21.8899679224
,,74.5,21.8695339714
,,75,21.8505582108
,,75.5,21.837420365
,,76,21.8213621267
,,76.5,21.7994629779
